id_trabalho,traducao,keyword
1206,"The purpose of this poster is to present instruments for inference for mixture models with spatial dependence between variables using MV and/or Bayesian methodology. Among the aspects to be addressed is the selection of models, estimation via MCMC, as well as performance verification. Simulation studies will be carried out to verify the performance of the proposed methods and comparison with methods proposed in the literature. The proposed methods will also be applied to real data",Bayesian inference; spatial data; mixing distributions; MCMC
1157,"Partially replicated designs, or p-rep designs, are widely used in experiments in plant breeding programs, whose main objective is to maximize genetic gain. Thus, a quality selection of the evaluated genetic material is necessary. Such designs were originally proposed as solvable designs in rows and columns, being obtained through optimal designs according to the maximization of the expected genetic gain, which is equivalent to minimizing the variance of pairs of errors in the prediction of treatment effects. The present study evaluated the influence of the effect of treatments, whether fixed or random, and the design characteristic, whether solvable or non-resolvable, on the selection of genetic material. The results show that the p-rep designs are robust, and the genetic gain is little influenced by such assumptions made regarding the design model, for a fixed size of experiment.",Line and column designs; Spatial optimized designs; Mean of the variances of the differences between treatment effects pairs; Solvable designs; Genetic gain.
1348,"Currently, there are several analytical queuing models that are often used to represent the queuing systems at supermarket checkouts. The main objective is to estimate the waiting time of customers in the checkout line, important information for making management decisions. A very common occurrence, not only in supermarkets, is the exchange of lines by users. There are few models that consider switching and, when they do, they are for few queues (small queue systems). These should be compared, in efficiency in predicting waiting time in line, to other models that are frequently used. To analyze and compare the performance of these models, a case study was carried out in a company in the interior of São Paulo. With the information and data from the case study, it was possible to compare the results of the model with changes in relation to other models used for predictions. As a result, it was found that the model that best represented the real system was the queuing model with exchanges. The results highlight that, possibly, the model with exchanges is more realistic and efficient for situations in which customers have this behavior. However, this model presents computational capacity problems when one intends to use it with a larger number of queues. This is due to the fact that, to add to the exchanges, this situation leads to a system of balance equations with tens of thousands of equations, which is not determined. This work then brings another possibility, an approach that allows, through the division into smaller blocks of parallel queues, to use larger queue systems composed of blocks, expanding the analysis capacity of the queue system with exchanges.","queuing model with changes, queuing limitation, system performance."
1104,"In this paper our interest relies on analyze the performance of undergraduate students in Calculus I and Linear Algebra and identify which characteristics may be associated with the chances of a student be approved in one of those disciplines. The database is from the University of Campinas, one of the top  Public Research Universities in Brazil, with records of 9,130 students who enrolled at the university between 2009 and 2015 in courses such that Calculus I or Linear Algebra were required disciplines. The variable of interest is the number of times a student take each one of those course until he/she is approved, treating this as discrete survival variable, some students may take 7 or more time the discipline until be approved.  We proposed a bivariate discrete survival model to analyses jointly the time until pass in both discipline taking account the strong correlation among them via a gaussian random component.","student performance, survival analysis, discrete time, censored data, mixed model"
1217,"In this work we introduce a dynamic class of model for time series taking values on the unit interval and following a beta distribution. The proposed model follows a generalized linear model approach where the mean specification includes covariates and also an extra additive term presenting chaotic behavior. The extra term is defined through the iteration of a chaotic transformation and can present a wide variety of behaviors including short and long range dependence, fixed points, periodic behavior, attracting and/or repelling points, etc.",chaotic processes; time series; beta regression
1133,"The present work was born from a proposal to carry out a pedagogical training workshop aimed at teachers at the Federal Institute of Basic, Technical and Technological Education of Brasília (IFB). Professionals from the most diverse specialties would participate, from engineers, chemists, physicists and mathematicians to biologists, historians, professionals of letters, administrators and pedagogues, a very diverse audience with diverse needs, but with a focus on continuing education and improving their practices. Six workshops were selected, five of which were based on pedagogical activity in the classroom and the last one, the present proposal, whose main objective was to disseminate to participants the possibilities of applying statistical tools and practices for both the evaluation and analysis of data. collected and for the improvement and comparison of learning processes in different situations. Raising important aspects of teachers&#39; pedagogical practice and associating them with statistical procedures and tools via the presentation of several examples of application in the school context, several issues were addressed such as appropriate profiles for assessments, grade scales based on position measures and variability, grading scales based on statistical distributions, the Hypothesis Test to compare means obtained from the same sample and to compare means from independent samples. The result was satisfactory considering the short period of time and the variability of interests and backgrounds involved. The teachers not only worked on different contents, but also saw new possibilities and got excited, that is, they were motivated to apply the methods presented in their research and in their daily professional practice.",Continuing Education. Statistics and Education. Qualitative and Quantitative Research.
840,"The data set of respondents to the complete questionnaire of the 2010 IBGE Demographic Census was considered, which involved 20800804 respondents. The influence of the fertility index was evaluated as a function of variables such as type of disability, expanded education level, income, race and type of work, through the application of a cross-sectional study and an analysis of crosses between number of children and federation unit depending on the other variables, the fertility index is calculated considering women over 10 years of age as fertile. Conclusion, it was possible to show that this index is usually higher in groups considered more vulnerable in terms of disability, level of education, housing conditions, greater distance from urban centers, among others.","fertility rate, people with disabilities, race, increased level of education, crossing of variables."
1227,"We introduce a new three-parameter model called the logistic Nadarajah-Haghighi distribution. The proposed distribution can produce an unimodal density overcoming a Nadarajah-Haghighi limitation. It is also more flexible than the baseline hazard rate function, allowing constant, increasing, decreasing and upsidedown-bathtub forms. We present the maximum likelihood estimators for the model parameters. A simulation study is carried out and we illustrate the usefulness of the new distribution by means of two applications to real data sets.",Hazard rate function; lifetime data; logistic-X family; maximum likelihood; Nadarajah-Haghighi distribution.
1251,"Economic assessment is an essential part of planning forestry projects. These assessments usually take into account the calculation of revenue, which is usually linked to wood production and its sale price. The Bayesian methodology can serve as an alternative to obtain better estimates of growth and production and also of price. This study aimed to carry out the economic evaluation of a forestry project using the Bayesian approach and extreme values theory (EVT). The starting point for the study was the definition of a project for planting eucalyptus to be implemented in the State of São Paulo. For the economic evaluation of the project, the net present value (NPV) was used. Since the economic performance of the project will be between the extremes where the price of wood can be the best or worst possible for the sale period, its revenues were calculated for two situations. The first considered the sale of wood at the maximum price expected for the final year of the project. In the second, the sale was made at the minimum price expected for the same period. Wood production was estimated by the non-linear Schumacher model. The minimum and maximum prices were estimated by the Gumbel distribution. Both production and price were estimated in the form of probability density via the Bayesian approach. As a result, an HPD95% region could be built for the NPV. Thus, the NPV calculated for the minimum price situation had 95% HPD varying between R$ 2,050.11 and R$ 5,409.07 per hectare, with an average equal to R$ 3,771.60 per hectare. The NPV calculated for the maximum price situation had 95% HPD ranging from R$ 7,766.77 to R$ 9,070.29 per hectare, with an average of R$ 8,398.13 per hectare.","Probability distribution, nonlinear model, eucalyptus, a priori information"
1121,"We consider the modeling of the interaction between a continuous and a binary regressor in a mixed effects model in which the nature of the relationship between the response variable and the continuous regressor is nonlinear and can be approximated by a curve. The representation of curves including low-order or high-order power terms for a regressor raises several well-known issues, such as bounded curve shapes or not fitting the data well due to extreme values. We propose an alternative approach based on the Fractional Polynomial Models (PFs) family, more specifically we extend the MFPI (Multivariable Fractional Polynomials Interaction) procedure to include random effects components. Therefore, a strategy for the analysis of fractional polynomial mixed effects models was proposed and a subroutine in R language was developed to calculate the deviances (deviation function) of these models and thus be able to select the best PF model. To illustrate and motivate our proposal we used a dataset analyzed by other authors who used polynomial mixed effects models, including an unstructured covariance matrix for random effects and modeling the error structure. In this case, in particular, the matrix associated with the random effects was generated by selecting certain columns from the matrix associated with the fixed parameters, that is, where the polynomial terms are. The analysis using the mixed effects fractional polynomial model proved to be a very parsimonious alternative, besides having the same advantages of the usual polynomials.",nothing
